,neighborhood,latitude,longitude,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality
1458,The Views,25.091001,55.171427,1722,725.9,2,3,1
1459,Dubai Marina,25.071448,55.131088,2352,637.75,2,2,1
1460,Jumeirah Village Circle,25.059555,55.201659,584,599.31,1,2,2
1461,Town Square,25.010066,55.290055,1438,988.1,3,3,2
1462,Town Square,25.010572,55.289786,700,1036.98,1,2,2
1463,Town Square,25.010572,55.289786,1655,610.81,2,2,2
1464,The Hills,25.077948000000003,55.159461,1780,1348.31,3,3,2
1465,Dubai Marina,25.085305,55.149287,1861,886.62,1,1,2
1466,Business Bay,25.183133,55.25658000000001,1512,1123.02,2,3,1
1467,Bluewaters,25.079247,55.119736,1117,1611.46,1,2,2
1468,Jumeirah,25.240419,55.25277,1163,1493.55,2,3,2
1469,Jumeirah,25.240419,55.25277,732,1736.34,1,2,2
1470,Jumeirah,25.240419,55.25277,1966,2099.19,3,4,2
1471,Jumeirah Beach Residence,25.07715,55.135515000000005,1294,950.54,2,3,2
1472,Jumeirah Village Circle,25.064191,55.216244999999994,679,559.65,1,1,2
1473,Downtown Dubai,25.186836,55.276951,915,1027.32,1,1,2
1474,Business Bay,25.181310999999997,55.26250699999999,2791,931.57,4,6,2
1475,Business Bay,25.191772,55.267035,2050,873.17,3,5,2
1476,Jumeirah Beach Residence,25.081954999999997,55.138863,714,966.39,0,1,2
1477,Downtown Dubai,25.191719,55.270677,1624,1293.1,2,2,2
1478,Downtown Dubai,25.191719,55.270677,1539,1364.52,2,2,2
1479,Palm Jumeirah,25.109306,55.14773,1144,1398.6,1,2,3
1480,Al Furjan,25.022618,55.14935,823,759.42,1,2,2
1481,Jumeirah Village Circle,25.056225,55.20458000000001,733,897.68,1,2,2
1482,Arjan,25.064808,55.24055,859,983.7,1,2,2
1483,Jumeirah Village Circle,25.04866,55.20955,504,793.63,0,1,1
1484,Dubai Marina,25.086376,55.14736,860,1802.33,1,2,1
1485,Dubai Marina,25.081243,55.14512,2328,987.54,3,4,2
1486,Jumeirah Beach Residence,25.072569,55.126527,1800,2277.78,2,2,2
1487,Downtown Dubai,25.194282,55.271884,3056,4237.53,4,4,2
1488,Business Bay,25.189124,55.26418,1155,770.56,1,2,2
1489,Dubai Marina,25.086726,55.145205,1736,1232.72,3,3,2
1490,Jumeirah Lake Towers,25.067137,55.139751,758,925.0,1,2,3
1491,Dubai Marina,25.073851,55.13691,1120,982.14,2,2,2
1492,Downtown Dubai,25.197316,55.274196,1888,1588.93,2,2,2
1493,Downtown Dubai,25.197316,55.274196,1096,1573.81,1,2,2
1494,Discovery Gardens,25.03335,55.150016,990,423.23,1,2,2
1495,Dubai Marina,25.075454,55.133788,1140,1096.49,1,2,2
1496,International City,25.167489,55.40896600000001,796,521.36,1,2,2
1497,Dubai Production City (IMPZ),25.035639,55.201443999999995,828,410.63,1,2,2
1498,Jumeirah Lake Towers,25.078148,55.148277,1378,910.35,2,3,3
1499,Dubai Silicon Oasis,25.115934,55.390236,353,708.22,0,1,1
1500,Jumeirah Village Circle,25.047032,55.206605,1478,507.44,2,4,2
1501,Dubai Marina,25.086726,55.145205,1255,1050.2,2,2,2
1502,Arjan,25.065872,55.232983,468,918.8,0,1,2
1503,Downtown Dubai,25.197059,55.27451800000001,1049,2001.91,1,2,2
1504,Downtown Dubai,25.197316,55.274196,1778,1659.11,2,3,2
1505,Greens,25.0902,55.17514499999999,1441,902.15,2,2,2
1506,Dubai Marina,25.074167000000003,55.137779,1330,977.44,2,2,2
1507,Motor City,25.044286,55.244499,1413,672.33,2,3,2
1508,Dubai Marina,25.08333,55.144753,662,1623.87,1,2,2
1509,Dubai Marina,25.078967,55.142559,761,959.26,1,2,2
1510,Business Bay,25.186039,55.262255,981,886.85,2,3,1
1511,Downtown Dubai,25.194935,55.282665,2704,2773.67,4,5,3
1512,Dubai Harbour,25.099744,55.14145500000001,1139,1668.13,2,2,3
1513,Dubai Marina,25.078967,55.142559,964,907.68,2,2,2
1514,Palm Jumeirah,25.113366,55.13609,1777,872.26,2,3,1
1515,Jumeirah,25.215192,55.235827,6735,4083.15,4,5,2
1516,Dubai Silicon Oasis,25.125435999999997,55.402921,2168,553.51,3,5,1
1517,Downtown Dubai,25.194282,55.27886899999999,880,4090.91,1,2,2
1518,Jumeirah Lake Towers,25.0781,55.151898,1380,634.06,2,2,2
1519,DIFC,25.207533,55.277978,1836,1143.79,2,2,2
1520,Dubai Land,25.090365,55.386419,1054,450.66,2,2,2
1521,Jumeirah Beach Residence,25.082397,55.14066,2918,1165.18,4,4,1
1522,Downtown Dubai,25.197316,55.274196,2728,2016.13,3,4,3
1523,Downtown Dubai,25.194282,55.271884,1712,1378.5,2,2,2
1524,Al Furjan,25.027747,55.154654,1400,707.06,2,3,2
1525,Jumeirah Lake Towers,25.078148,55.148277,1378,910.0,2,3,3
1526,Jumeirah Lake Towers,25.078148,55.148277,770,925.0,1,2,3
1527,Culture Village,25.226946,55.343628,4070,1670.76,4,4,2
1528,Dubai Marina,25.087042,55.148385,1291,929.51,2,3,2
1529,Downtown Dubai,25.19331,55.280919,2360,1906.78,3,4,2
1530,Downtown Dubai,25.19331,55.280919,982,1883.91,1,2,2
1531,Dubai Marina,25.071365,55.124993,1806,1716.5,3,4,2
1532,Dubai Harbour,25.0967,55.139276,655,1679.39,1,2,2
1533,Jumeirah Lake Towers,25.078262,55.14866899999999,1435,888.5,2,4,2
1534,Downtown Dubai,25.201204,55.270189,3077,2762.43,5,5,2
1535,Jumeirah Beach Residence,25.081241,55.137946,1350,777.78,1,2,2
1536,Dubai Marina,25.089463,55.148929,975,717.95,1,2,2
1537,Al Furjan,25.030322,55.149141,1504,598.4,2,2,2
1538,Business Bay,25.189282,55.28915799999999,1332,900.9,2,3,1
1539,Business Bay,25.180869,55.271015000000006,1567,772.18,1,2,1
1540,Greens,25.0902,55.17514499999999,1094,868.37,2,2,2
1541,Jumeirah Beach Residence,25.07662,55.135006,1388,900.58,2,3,2
1542,Downtown Dubai,25.194935,55.282665,1447,1624.05,2,3,2
1543,DIFC,25.211032,55.28205,2070,1304.35,3,3,2
1544,Downtown Dubai,25.198316,55.270757999999994,1300,1461.54,2,3,2
1545,Greens,25.09516,55.171259,1408,745.74,2,2,1
1546,Palm Jumeirah,25.109267000000003,55.145799,1583,947.57,2,3,1
1547,Dubai Marina,25.075284,55.134432,1443,1316.7,2,2,1
1548,Downtown Dubai,25.197316,55.274196,1546,1804.59,2,3,2
1549,Downtown Dubai,25.19331,55.280919,2081,1729.94,3,4,2
1550,Jumeirah Lake Towers,25.077009,55.146035,1249,692.55,2,2,3
1551,Dubai Land,25.104249,55.36883,1039,500.48,2,3,1
1552,Dubai Sports City,25.042351,55.205661,682,623.17,1,1,2
1553,Dubai Creek Harbour (The Lagoons),25.203553,55.34555400000001,1589,1988.6,3,3,2
1554,Downtown Dubai,25.198796,55.271342,1400,1428.57,2,3,2
1555,Dubai Marina,25.067539,55.131058,1734,720.88,3,3,1
1556,Jumeirah Lake Towers,25.074521,55.143825,2031,627.77,2,4,2
1557,The Views,25.091259,55.168657,1318,1174.51,2,2,3
1558,Motor City,25.046706,55.246714,919,680.09,1,2,1
1559,Dubai Sports City,25.037477,55.221942000000006,922,563.99,1,2,1
1560,Dubai Sports City,25.038181,55.221577,813,571.96,1,2,2
1561,Dubai Marina,25.086726,55.145205,1376,1017.44,2,3,2
1562,Dubai Marina,25.08377,55.145075,958,990.61,1,2,2
1563,Dubai Creek Harbour (The Lagoons),25.207208,55.344612,1133,1059.14,2,2,2
1564,Dubai Marina,25.090418,55.14874,1547,1034.26,3,3,3
1565,Downtown Dubai,25.201718,55.270982999999994,1571,1782.3,2,3,2
1566,Dubai Marina,25.075284,55.134432,1443,1455.27,2,3,1
1567,Downtown Dubai,25.197262,55.270028,1618,1297.9,1,2,2
1568,Mohammed Bin Rashid City,25.177819,55.308533,793,1575.0,2,2,2
1569,Mohammed Bin Rashid City,25.177819,55.308533,493,1537.14,1,1,3
1570,Dubai Marina,25.067539,55.131058,1734,686.27,3,3,1
1571,Arjan,25.062191,55.23268100000001,1857,592.35,3,3,2
1572,Barsha Heights (Tecom),25.100994,55.178291,1397,680.03,2,3,2
1573,Jumeirah Lake Towers,25.07887,55.148529,1690,828.4,2,3,3
1574,Jumeirah Beach Residence,25.076319,55.133627,3022,876.9,4,5,3
1575,Dubai Hills Estate,25.115696,55.249159,654,1070.34,1,1,2
1576,Dubai Marina,25.088431,55.146759,1305,766.28,2,2,1
1577,Dubai Marina,25.089393,55.147796,737,976.93,1,2,1
1578,Palm Jumeirah,25.10864,55.146673,1991,904.07,2,2,1
1579,Discovery Gardens,25.03335,55.150016,925,454.05,1,2,2
1580,Jumeirah Village Circle,25.050227,55.21335,478,991.63,0,1,2
1581,Dubai Marina,25.074167000000003,55.137779,841,1099.88,1,1,2
1582,Dubai Production City (IMPZ),25.039445,55.193467000000005,712,519.66,1,2,2
1583,Palm Jumeirah,25.110129,55.110888,6160,2889.38,3,5,2
1584,Dubai Marina,25.089833,55.150625,2161,689.5,3,4,2
1585,Jumeirah Beach Residence,25.084102,55.13862099999999,2586,3016.24,3,4,1
1586,Dubai Creek Harbour (The Lagoons),25.20997,55.34522,1070,1895.22,2,2,2
1587,Dubai Marina,25.071897,55.131535,474,1773.16,0,1,2
1588,Dubai Marina,25.08022,55.139178,2363,1142.62,3,4,2
1589,Business Bay,25.186038,55.29175,1055,1279.51,2,3,3
1590,Business Bay,25.186038,55.29175,1388,972.54,2,3,3
1591,Dubai Marina,25.090418,55.14874,971,978.37,1,3,2
1592,International City,25.173301,55.402315,484,454.55,0,1,1
1593,Palm Jumeirah,25.132519,55.151574,2629,2472.42,3,5,2
1594,Downtown Dubai,25.193641,55.284662,1062,965.16,2,3,2
1595,Greens,25.093469,55.173061,754,855.44,1,1,2
1596,Jumeirah Beach Residence,25.07359,55.126352,1181,2455.55,2,3,2
1597,Business Bay,25.185337,55.2763,616,1461.04,0,1,2
1598,Motor City,25.046706,55.246714,1140,526.31,1,2,1
1599,Business Bay,25.193359,55.264968,1300,1192.31,2,3,2
1600,Meydan,25.150828,55.295714,2795,1064.4,4,6,2
1601,DAMAC Hills,25.013504,55.254337,1525,1049.84,2,2,1
1605,Jumeirah Beach Residence,25.07851,55.136283,2150,1767.44,2,2,2
1606,Dubai Creek Harbour (The Lagoons),25.20997,55.34522,760,1381.58,1,2,2
1607,Palm Jumeirah,25.112237,55.138630000000006,1095,2101.32,2,3,2
1608,Downtown Dubai,25.196593,55.269631,1241,1019.34,2,3,2
1609,Dubai Production City (IMPZ),25.036803,55.200909,362,635.36,0,1,2
1610,Dubai Production City (IMPZ),25.036803,55.200909,380,605.26,0,1,2
1611,Discovery Gardens,25.044519,55.137291000000005,493,608.52,0,1,1
1612,Dubai Healthcare City,25.213527,55.320758,474,1054.85,0,1,3
1613,Downtown Dubai,25.196489,55.272126,5253,3405.46,4,4,2
1614,Dubai Marina,25.089393,55.147796,1330,1015.04,2,3,2
1615,Dubai Marina,25.086376,55.14736,1814,1722.71,3,4,2
1616,The Views,25.088533,55.171838,1347,994.8,2,2,2
1617,Downtown Dubai,25.190265,55.281546,727,1114.17,1,1,2
1618,Dubai Marina,25.08333,55.144753,660,1515.15,1,2,2
1619,Dubai Marina,25.068933,55.128814,723,1286.31,1,2,2
1620,Dubai Marina,25.089393,55.147796,1328,1355.42,2,3,2
1621,Al Furjan,25.030322,55.149141,1398,608.01,2,2,2
1622,Dubai Sports City,25.038332,55.20485600000001,1322,416.04,2,3,2
1623,Downtown Dubai,25.201842000000003,55.280473,742,2156.33,1,1,2
1624,Business Bay,25.187683,55.2699,485,1237.11,0,1,2
1625,Al Furjan,25.025999,55.13875,877,769.67,1,1,1
1626,Business Bay,25.186038,55.29175,914,1280.09,1,1,2
1627,Business Bay,25.186038,55.29175,2043,978.95,3,3,2
1628,Business Bay,25.183133,55.25658000000001,1512,1123.02,2,3,2
1629,Dubai Harbour,25.0967,55.139276,1700,2550.52,3,3,2
1630,Dubai Creek Harbour (The Lagoons),25.194898,55.359464,1662,1823.04,3,3,2
1631,Downtown Dubai,25.203035,55.280662,1087,1993.46,2,2,2
1632,Downtown Dubai,25.195236,55.268641,1604,2810.4,3,3,2
1633,DAMAC Hills,25.024108,55.24290799999999,769,933.68,1,2,1
1634,DAMAC Hills,25.024108,55.24290799999999,769,933.68,1,2,1
1635,DAMAC Hills,25.024108,55.24290799999999,509,1072.69,0,1,1
1636,DAMAC Hills,25.024108,55.24290799999999,769,933.68,1,2,1
1637,DAMAC Hills,25.024108,55.24290799999999,509,1072.69,0,1,1
1638,Business Bay,25.183515,55.26667,1237,1511.72,2,2,2
1639,DAMAC Hills,25.013504,55.254337,1302,1108.28,1,1,1
1640,DAMAC Hills,25.013504,55.254337,1619,1016.06,2,2,1
1641,Dubai Marina,25.071077,55.125561,1747,2112.7,3,3,2
1642,Business Bay,25.183515,55.26667,469,1511.73,1,1,2
1643,Business Bay,25.183515,55.26667,465,1526.88,1,1,2
1644,Business Bay,25.183515,55.26667,470,1517.02,1,1,2
1645,Business Bay,25.188129999999997,55.282766,466,1686.7,1,1,2
1646,Business Bay,25.183515,55.26667,471,1685.77,1,1,2
1647,Business Bay,25.188129999999997,55.282766,913,1410.73,2,2,2
1648,Business Bay,25.183515,55.26667,428,1612.15,0,1,2
1649,Business Bay,25.183515,55.26667,696,1435.34,1,1,2
1650,Business Bay,25.183515,55.26667,1696,1436.91,3,3,2
1651,Business Bay,25.183515,55.26667,1686,1446.62,3,3,2
1652,Business Bay,25.183515,55.26667,1696,1443.4,3,3,2
1653,Business Bay,25.183515,55.26667,1046,2210.33,1,2,1
1654,Business Bay,25.183515,55.26667,991,1658.93,2,2,1
1655,Dubai Marina,25.08726,55.145517000000005,1923,2008.84,3,4,2
1656,Dubai Marina,25.08726,55.145517000000005,1939,2006.19,3,4,2
1657,Business Bay,25.185823000000003,55.291922,2000,957.5,3,4,3
1658,The Views,25.088533,55.171838,1400,957.14,2,2,2
1659,Business Bay,25.187446,55.26749,491,1140.53,0,1,2
1660,Jumeirah Village Circle,25.052742,55.20799399999999,1574,634.69,2,3,2
1661,Jumeirah Village Circle,25.047618,55.211000000000006,1481,877.79,2,4,1
1662,Dubai Marina,25.072696,55.13586,1657,1659.63,3,4,1
1663,Dubai Harbour,25.09938,55.141275,1171,1845.34,2,3,1
1664,The Hills,25.07868,55.15786899999999,3607,1186.27,3,3,2
1665,Al Furjan,25.033564,55.146640000000005,1556,610.54,3,4,2
1666,Jumeirah Beach Residence,25.082485,55.139394,2170,1797.24,3,3,2
1667,Greens,25.092881,55.173618999999995,764,811.52,1,1,2
1668,Meydan,25.175689,55.284457999999994,676,1035.5,1,2,2
1669,Downtown Dubai,25.198796,55.271342,831,1444.04,1,2,2
1670,Jumeirah Lake Towers,25.066988,55.141291,889,911.14,2,2,1
1671,Downtown Dubai,25.19752,55.270168000000005,744,1478.49,1,2,1
1672,The Hills,25.07868,55.15786899999999,2191,1717.43,3,3,2
1673,Downtown Dubai,25.194761,55.282343,1445,1591.0,2,3,2
1674,Palm Jumeirah,25.12913,55.152902000000005,1158,1554.4,1,2,2
1675,Motor City,25.0476,55.248748,1642,609.01,2,3,1
1676,Jumeirah Village Circle,25.04866,55.20955,560,873.39,0,1,2
1677,Jumeirah Village Circle,25.047618,55.211000000000006,514,933.85,0,1,1
1678,Business Bay,25.181304,55.252577,410,2073.17,0,1,2
1679,DAMAC Hills,24.98987,55.379105,294,1122.45,0,1,2
1680,Dubai Marina,25.078241,55.137487,693,937.95,1,2,1
1681,Jumeirah Village Circle,25.050516,55.19973,770,883.12,1,2,2
1682,Jumeirah Beach Residence,25.0799,55.13193100000001,1959,2639.1,4,4,2
1683,Jumeirah Village Circle,25.048095,55.206373,743,800.81,1,2,2
1684,Downtown Dubai,25.186913,55.277919,985,1522.84,1,2,2
1685,Downtown Dubai,25.201718,55.270982999999994,2010,1965.17,3,3,2
1686,Greens,25.094173,55.169437,2050,868.29,3,3,1
1687,Jumeirah Village Triangle,25.033519,55.17307099999999,1566,989.78,2,2,1
1688,Dubai Marina,25.074958,55.138542,609,1535.3,1,2,2
1689,Downtown Dubai,25.195237,55.271449,1192,3660.14,2,3,1
1690,Downtown Dubai,25.196489,55.272126,5253,3711.95,4,5,1
1691,Jumeirah Village Circle,25.051846,55.21530500000001,887,473.51,1,2,1
1692,Greens,25.094276,55.170207,2128,841.17,3,4,2
1693,Downtown Dubai,25.195483,55.271797,607,2614.31,1,2,1
1694,Jumeirah Beach Residence,25.080787,55.13738000000001,2921,684.7,3,3,2
1695,Motor City,25.048067,55.24704200000001,2218,529.76,2,3,1
1696,Motor City,25.043586,55.246784,1550,580.65,2,3,1
1697,Downtown Dubai,25.201204,55.270189,3134,3509.89,5,6,2
1698,Business Bay,25.191189,55.283374,455,1868.13,0,1,2
1699,Town Square,25.005753,55.295312,1410,772.26,3,3,1
1700,Town Square,25.004935999999997,55.296535,1365,797.72,3,3,2
1701,Jumeirah Lake Towers,25.075364,55.14530799999999,896,725.45,1,2,2
1702,Jumeirah Lake Towers,25.069288,55.139396,1184,777.03,2,3,2
1703,Jumeirah Lake Towers,25.076309,55.145389,3593,834.96,3,4,2
1704,Jumeirah Beach Residence,25.080327,55.13821899999999,3112,1076.48,4,4,2
1705,Palm Jumeirah,25.11594,55.140737,2398,1834.86,3,4,2
1706,Business Bay,25.187446,55.26749,513,935.67,0,1,2
1707,Dubai Festival City,25.218977,55.367945,2267,926.33,3,4,3
1708,Jumeirah Beach Residence,25.081954999999997,55.138863,713,974.75,0,1,1
1709,Al Kifaf,25.233787,55.294217,1612,1302.73,2,2,3
1710,Jumeirah Beach Residence,25.080162,55.13786999999999,2455,1119.76,4,5,2
1711,Al Sufouh,25.108627,55.178031,906,926.05,1,2,1
1712,Jumeirah Beach Residence,25.083858,55.138714,1923,3068.12,2,3,2
1713,Dubai Marina,25.077327,55.140317,1867,1606.86,3,3,2
1714,Jumeirah Village Circle,25.051513,55.207733,747,951.81,1,2,2
1715,Umm Suqeim,25.137198,55.189006000000006,875,1650.29,1,1,2
1716,The Views,25.09003,55.170014,1642,1065.77,2,2,1
1717,Palm Jumeirah,25.112193,55.138635,1666,2107.98,3,3,1
1718,Palm Jumeirah,25.112193,55.138635,321,1946.69,0,1,1
1719,Jumeirah,25.240419,55.25277,1216,1866.78,2,3,2
1720,Jumeirah Village Circle,25.047662,55.198611,1218,985.22,2,3,1
1721,Dubai Marina,25.069516,55.127361,2761,633.83,3,4,2
1722,Downtown Dubai,25.191527,55.274545,1367,1572.79,2,2,2
1723,Dubai Land,25.111535,55.365680000000005,1057,373.7,1,2,2
1724,Jumeirah Beach Residence,25.081954999999997,55.138863,713,981.77,0,1,1
1725,Dubai Hills Estate,25.109367,55.247980000000005,915,979.23,1,2,2
1726,Dubai Marina,25.082591,55.142183,709,1097.25,1,1,2
1727,Motor City,25.044699,55.246543,1044,574.71,1,2,2
1728,Dubai Marina,25.088431,55.146759,1305,766.28,2,3,3
1729,Culture Village,25.226946,55.343628,4070,1670.76,4,4,3
1730,Motor City,25.045454,55.248316,625,720.0,0,1,1
1731,Al Barari,25.100474,55.31365400000001,966,1353.41,1,2,1
1732,wasl gate,25.023846,55.105456999999994,730,946.27,2,2,2
1733,Dubai Sports City,25.031902,55.223079000000006,454,726.87,0,1,1
1734,Dubai Sports City,25.038332,55.20485600000001,709,564.17,1,2,1
1735,Palm Jumeirah,25.116492,55.141387,1296,1427.47,1,1,2
1736,Jumeirah Village Circle,25.047618,55.211000000000006,514,1264.59,0,1,1
1737,Meydan,25.150828,55.295714,1534,814.86,2,3,2
1738,DIFC,25.211032,55.28205,1757,1422.88,2,3,2
1739,Jumeirah Lake Towers,25.076447,55.146011,620,806.45,1,1,3
1740,Al Sufouh,25.108984,55.177657,1783,1121.7,3,4,1
1741,Palm Jumeirah,25.107353,55.148401,1633,734.84,2,3,2
1742,Palm Jumeirah,25.125472,55.153066,791,1580.28,1,2,2
1743,Downtown Dubai,25.201718,55.270982999999994,2019,2278.36,3,4,2
1744,Jumeirah Lake Towers,25.073851,55.144174,940,717.02,1,2,2
1745,Downtown Dubai,25.196398,55.271002,1198,1243.74,2,3,1
1746,Dubai Marina,25.086376,55.14736,822,1581.51,1,2,2
1747,The Views,25.09003,55.170014,1642,1065.77,2,2,2
1748,Jumeirah Village Circle,25.051021,55.211803,1071,522.87,1,2,2
1749,Dubai Marina,25.071356,55.136879,1328,640.06,2,3,1
1750,Mirdif,25.227337,55.441623,1330,1066.92,2,3,2
1751,Mirdif,25.227337,55.441623,1600,1060.0,3,3,2
1752,Downtown Dubai,25.201718,55.270982999999994,1329,1881.11,2,3,2
1753,Business Bay,25.179868,55.265446,1325,1200.0,2,3,3
1754,Downtown Dubai,25.19752,55.270168000000005,1356,1032.45,2,3,2
1755,Jumeirah Lake Towers,25.080143,55.152381000000005,398,967.34,0,1,2
1756,Dubai Hills Estate,25.107984,55.244923,1541,1103.18,2,3,2
1757,Dubai Hills Estate,25.107984,55.244923,1315,1140.68,2,3,2
1758,Business Bay,25.177373,55.272707,943,1219.51,1,2,2
1759,Downtown Dubai,25.195039,55.26942,856,1752.34,1,2,2
1760,Business Bay,25.189282,55.28915799999999,929,861.14,1,2,2
1761,Business Bay,25.183133,55.25658000000001,2000,1212.5,3,5,2
1762,Business Bay,25.183133,55.25658000000001,1512,1123.02,2,3,2
1763,Umm Suqeim,25.136864000000003,55.188892,1623,1417.13,2,2,2
1764,Dubai Marina,25.072697,55.135862,2334,2121.2,4,4,2
1765,Jumeirah,25.240419,55.25277,816,1674.02,1,1,2
1766,Jumeirah,25.215192,55.235827,1574,3116.26,1,1,2
1767,Jumeirah,25.215192,55.235827,2249,4094.71,2,2,2
1768,DAMAC Hills,25.01802,55.252492,777,939.51,1,1,1
1769,Downtown Dubai,25.187129,55.27839399999999,1026,1169.59,1,2,2
1770,Downtown Dubai,25.197316,55.274196,1639,2135.38,2,3,3
1771,Downtown Dubai,25.197316,55.274196,1133,1853.39,1,2,2
1772,Business Bay,25.181310999999997,55.26250699999999,1270,1082.68,2,2,2
1773,Dubai Marina,25.085322,55.14480699999999,1371,1021.15,2,3,2
1774,Downtown Dubai,25.18984,55.281004,909,1100.11,1,2,1
1775,Dubai Marina,25.08377,55.145075,1853,1068.54,3,3,2
1776,Jumeirah Village Circle,25.051528,55.212972,1194,932.71,2,3,2
1777,Jumeirah Village Circle,25.051528,55.212972,690,941.18,1,1,2
1778,Dubai Hills Estate,25.109367,55.247980000000005,1638,1129.43,3,4,2
1779,Discovery Gardens,25.03335,55.150016,947,443.51,1,2,1
1780,Downtown Dubai,25.194935,55.282665,1485,1750.84,2,3,2
1781,International City,25.16729,55.404096,824,667.48,1,2,2
1782,Al Furjan,25.025262,55.13875,906,849.89,2,2,2
1784,Remraam,25.004258,55.245986,401,648.38,0,1,2
1785,Downtown Dubai,25.195237,55.271449,1861,3114.93,3,4,2
1786,Jebel Ali,24.978409,55.092119999999994,430,976.74,0,1,2
1787,Meydan,25.158305,55.296535,758,1240.11,1,2,2
1788,Downtown Dubai,25.19084,55.27154399999999,1232,1461.04,2,2,2
1789,Umm Suqeim,25.137198,55.189006000000006,1504,1670.21,2,2,2
1790,Downtown Dubai,25.195745,55.271892,1214,4072.4,2,2,1
1791,Downtown Dubai,25.195745,55.271892,1557,3774.49,3,3,1
1792,Business Bay,25.183515,55.26667,696,1429.6,1,1,2
1793,Dubai Marina,25.085305,55.149287,1185,881.86,1,2,2
1794,Business Bay,25.190578,55.265962,1751,913.76,2,3,2
1795,Dubai Marina,25.089833,55.150625,2992,835.56,3,5,1
1796,Jumeirah Village Circle,25.053643,55.216712,432,833.33,0,1,3
1797,Jumeirah Beach Residence,25.07359,55.126352,763,2018.35,1,2,2
1800,Jumeirah Lake Towers,25.064767,55.138814,1328,677.71,2,3,2
1802,Jumeirah Beach Residence,25.07359,55.126352,1897,2003.16,3,2,2
1804,Downtown Dubai,25.197316,55.274196,1133,1765.23,1,2,2
1805,Dubai Marina,25.071448,55.131088,3456,954.86,3,5,1
1806,The Hills,25.077955,55.159380000000006,1558,1059.05,2,2,2
1809,Jumeirah Lake Towers,25.069288,55.139396,1152,729.17,2,2,1
1810,Greens,25.094635,55.171817,1797,890.37,3,3,2
1811,Dubai Marina,25.076576,55.13684,1303,1266.31,2,3,2
1814,DIFC,25.206412,55.275199,1782,1346.8,2,3,1
1815,Jumeirah Village Circle,25.049763,55.204232999999995,967,930.71,1,2,2
1816,Jumeirah Village Circle,25.066475,55.214533,419,871.12,0,1,2
1819,Jumeirah,25.240419,55.25277,1341,1677.85,2,3,2
1820,DIFC,25.207533,55.277978,960,1614.58,1,2,2
1822,Dubai Marina,25.067918,55.13213,484,1198.35,1,1,2
1823,Jumeirah Beach Residence,25.082397,55.14066,2918,1165.18,4,4,1
1824,Umm Suqeim,25.137409,55.188956999999995,1351,1622.5,2,2,2
1825,Umm Suqeim,25.137409,55.188956999999995,1702,1438.31,2,2,2
1826,Umm Suqeim,25.137409,55.188956999999995,1359,1554.08,2,2,2
1828,Umm Suqeim,25.137409,55.188956999999995,1378,1539.19,2,2,2
1829,Jumeirah Village Circle,25.066252,55.20792900000001,372,994.62,0,1,3
1830,Business Bay,25.179868,55.265446,1300,1173.08,2,3,2
1831,Dubai Marina,25.073151,55.136982,841,1129.61,1,1,2
1832,Dubai Harbour,25.09938,55.141275,1143,1964.91,2,2,2
1833,Dubai Marina,25.074167000000003,55.137779,1323,1171.58,2,2,2
1834,The Views,25.090018,55.17238199999999,1302,930.88,2,3,2
1835,Dubai Marina,25.08333,55.144753,1233,1257.1,2,2,1
1836,Dubai Marina,25.082217,55.142624,884,1244.34,1,2,2
1837,Al Barari,25.100921,55.313162,2745,1020.04,2,3,2
1838,Jumeirah Lake Towers,25.07913,55.154713,415,966.0,0,1,3
1839,Jumeirah Lake Towers,25.07913,55.154713,415,966.0,0,1,3
1840,Umm Suqeim,25.137673,55.189435,1300,1615.38,2,2,2
1841,Jumeirah Beach Residence,25.076319,55.133627,1058,1417.77,1,2,3
1842,Dubai Marina,25.071436,55.136065,1377,907.77,2,2,1
1843,The Views,25.09003,55.170014,1642,1065.77,2,3,2
1844,Dubai Creek Harbour (The Lagoons),25.206125,55.34360699999999,899,1223.58,1,1,2
1845,Jumeirah Village Circle,25.046296,55.200782999999994,422,1051.78,0,1,2
1846,Downtown Dubai,25.195236,55.268641,1709,1872.44,3,4,1
1847,Business Bay,25.190137,55.264937,3039,970.71,3,4,2
1848,Dubai Residence Complex,25.091310999999997,55.378277,460,586.96,0,1,1
1849,Jumeirah Lake Towers,25.071246,55.140806000000005,672,742.56,1,1,2
1851,Downtown Dubai,25.201718,55.270982999999994,2023,1977.26,3,3,2
1852,Dubai Marina,25.069265,55.12856800000001,591,1184.43,1,1,1
1853,Business Bay,25.182869,55.282704,778,1182.52,1,2,2
1854,Palm Jumeirah,25.111229,55.136449,1890,873.02,1,2,2
1855,Greens,25.094684,55.17069,2059,777.07,3,3,2
1856,Dubai Marina,25.071436,55.136065,2412,621.89,3,4,2
1857,Jumeirah Lake Towers,25.078148,55.148277,403,994.76,0,1,2
1858,Jumeirah Lake Towers,25.078148,55.148277,904,841.69,1,2,2
1859,Jumeirah Lake Towers,25.078148,55.148277,1073,937.45,2,2,2
1860,Jumeirah Lake Towers,25.078148,55.148277,1517,1022.34,3,3,2
1861,Dubai Land,25.090987,55.385389,1094,539.31,2,2,2
1862,Dubai Marina,25.077213,55.136939,1324,1321.75,2,2,1
1863,Dubai Marina,25.075974,55.135687,2205,1179.14,3,4,1
